Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
UHC (Infectious Disease),Lower-middle-income countries,2004,78,56.69032327,99.30967673,50
UHC (Infectious Disease),Upper-middle-income countries,2004,89,68.15267137,109.8473286,53
UHC (Infectious Disease),High-income countries,2005,100,95.86827471,104.1317253,63
UHC (Infectious Disease),Low-income countries,2005,11.5,-12.73054884,35.73054884,25
UHC (Infectious Disease),Lower-middle-income countries,2005,78,53.50598508,102.4940149,50
UHC (Infectious Disease),Upper-middle-income countries,2005,90,70.25249474,109.7475053,53
UHC (Infectious Disease),High-income countries,2006,99,95.04090685,102.9590932,63
UHC (Infectious Disease),Low-income countries,2006,17,-6.049782056,40.04978206,25
UHC (Infectious Disease),Lower-middle-income countries,2006,78,54.16254539,101.8374546,50
UHC (Infectious Disease),Upper-middle-income countries,2006,90,72.4760071,107.5239929,53
UHC (Infectious Disease),High-income countries,2007,99,90.13137653,107.8686235,63
UHC (Infectious Disease),Low-income countries,2007,18,-5.144143115,41.14414312,25
UHC (Infectious Disease),Lower-middle-income countries,2007,76,51.0071988,100.9928012,50
UHC (Infectious Disease),Upper-middle-income countries,2007,90,77.74572151,102.2542785,53
UHC (Infectious Disease),High-income countries,2008,99,91.45501022,106.5449898,63
UHC (Infectious Disease),Low-income countries,2008,24,0.13200756,47.86799244,25
UHC (Infectious Disease),Lower-middle-income countries,2008,72,44.93292618,99.06707382,50
UHC (Infectious Disease),Upper-middle-income countries,2008,88.5,74.21588502,102.784115,53
UHC (Infectious Disease),High-income countries,2009,99,91.85071718,106.1492828,63
UHC (Infectious Disease),Low-income countries,2009,23.5,2.322423567,44.67757643,25
UHC (Infectious Disease),Lower-middle-income countries,2009,70,43.90327497,96.09672503,50
UHC (Infectious Disease),Upper-middle-income countries,2009,88,73.59844346,102.4015565,53
UHC (Infectious Disease),High-income countries,2010,99,91.63303938,106.3669606,63
UHC (Infectious Disease),Low-income countries,2010,26,4.225834443,47.77416556,25
UHC (Infectious Disease),Lower-middle-income countries,2010,63,36.32137894,89.67862106,50
UHC (Infectious Disease),Upper-middle-income countries,2010,87,73.46802847,100.5319715,53
UHC (Infectious Disease),High-income countries,2011,99,91.19887502,106.801125,63
UHC (Infectious Disease),Low-income countries,2011,28.5,7.106261115,49.89373889,25
UHC (Infectious Disease),Lower-middle-income countries,2011,65,39.32012981,90.67987019,50
UHC (Infectious Disease),Upper-middle-income countries,2011,87,71.67519063,102.3248094,53
UHC (Infectious Disease),High-income countries,2012,99,90.43678685,107.5632132,63
UHC (Infectious Disease),Low-income countries,2012,30.5,8.639257481,52.36074252,25
UHC (Infectious Disease),Lower-middle-income countries,2012,61,36.53818887,85.46181113,50
UHC (Infectious Disease),Upper-middle-income countries,2012,87,71.68321922,102.3167808,53
UHC (Infectious Disease),High-income countries,2013,99,89.89795968,108.1020403,63
UHC (Infectious Disease),Low-income countries,2013,31,11.07632657,50.92367343,25
UHC (Infectious Disease),Lower-middle-income countries,2013,63,37.74776901,88.25223099,50
UHC (Infectious Disease),Upper-middle-income countries,2013,88,72.87577644,103.1242236,53
